"Player","Team","REC","YDS","TDS","FL","FPTS"
"A.J. Derby","MIA","0.8","9.7","0.1","0.1","2.1"
"Matt Lengel","CIN","0.8","8.2","0.1","0.0","2.1"
"Seth DeValve","CLE","0.7","8.7","0.1","0.0","2.1"
"Jordan Leggett","NYJ","0.8","7.6","0.1","0.0","1.9"
"Blake Jarwin","DAL","0.8","8.5","0.0","0.0","1.8"
"Lance Kendricks","GB","0.7","8.0","0.1","0.1","1.7"
"Neal Sterling","NYJ","0.8","7.0","0.1","0.0","1.7"
"Derek Carrier","OAK","0.8","7.3","0.0","0.0","1.7"
"Blake Bell","JAC","0.6","7.1","0.1","0.0","1.7"
"Eric Tomlinson","NYJ","0.7","7.1","0.0","0.0","1.6"
"Ian Thomas","CAR","0.6","5.6","0.0","0.0","1.4"
"Garrett Celek","SF","0.4","5.2","0.1","0.0","1.4"
"Anthony Firkser","TEN","0.5","5.4","0.1","0.0","1.3"
"Levine Toilolo","DET","0.5","4.2","0.0","0.0","1.1"
"Dion Sims","CHI","0.4","3.7","0.0","0.0","0.9"
"Rico Gathers","DAL","0.4","4.4","0.0","0.0","0.9"
"Eric Saubert","ATL","0.4","3.9","0.0","0.0","0.9"
"Dan Arnold","NO","0.4","4.1","0.1","0.1","0.9"
"Dwayne Allen","NE","0.4","3.4","0.0","0.0","0.9"
"Dalton Schultz","DAL","0.4","4.4","0.0","0.0","0.9"
"Marcedes Lewis","GB","0.3","3.2","0.0","0.0","0.7"
"Erik Swoope","IND","0.2","2.4","0.0","0.0","0.7"
"Xavier Grimble","PIT","0.3","3.0","0.0","0.0","0.7"
"Antony Auclair","TB","0.3","2.9","0.0","0.0","0.6"
"Ross Dwelley","SF","0.3","2.9","0.0","0.0","0.6"
"Joshua Perkins","PHI","0.2","2.6","0.0","0.0","0.6"
"Jacob Hollister","NE","0.2","2.8","0.0","0.0","0.6"
"Logan Paulsen","ATL","0.2","2.2","0.0","0.0","0.6"
"Mo Alie-Cox","IND","0.2","2.8","0.0","0.0","0.5"
"Scott Simonson","NYG","0.3","2.4","0.0","0.0","0.5"
"Darrell Daniels","SEA","0.2","1.0","0.0","0.0","0.4"
"Lee Smith","OAK","0.2","2.1","0.0","0.0","0.4"
"Daniel Brown","CHI","0.1","1.4","0.0","0.0","0.4"
"John Phillips","ARI","0.2","1.7","0.0","0.0","0.4"
"MyCole Pruitt","TEN","0.2","1.8","0.0","0.0","0.4"
"Jeremy Sprinkle","WAS","0.2","1.7","0.0","0.0","0.4"
"Durham Smythe","MIA","0.1","1.5","0.0","0.0","0.3"
"Chris Manhertz","CAR","0.2","1.5","0.0","0.0","0.3"
"Alan Cross","TB","0.1","1.1","0.0","0.0","0.3"
"Robert Tonyan","GB","0.1","0.8","0.0","0.0","0.3"
"Orson Charles","CLE","0.1","0.8","0.0","0.0","0.2"
"Ryan Hewitt","IND","0.1","0.5","0.0","0.0","0.2"
"Ben Braunecker","CHI","0.1","0.5","0.0","0.0","0.1"
"Austin Roberts","LAC","0.0","0.0","0.0","0.0","0.0"
"Clark Harris","CIN","0.0","0.0","0.0","0.0","0.0"
"Ryan Malleck","PIT","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"Richard Rodgers","PHI","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","SF","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","KC","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","PIT","0.0","0.0","0.0","0.0","0.0"
""
""
