"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dede Westbrook","JAC","3.7","51.5","0.2","0.2","1.1","0.0","0.0","10.0"
"Danny Amendola","MIA","4.4","45.9","0.1","0.0","0.1","0.0","0.0","9.8"
"Tyler Lockett","SEA","3.2","47.7","0.3","0.4","3.3","0.0","0.0","9.8"
"Taylor Gabriel","CHI","3.7","45.9","0.2","0.6","4.1","0.0","0.0","9.8"
"Mohamed Sanu","ATL","3.5","44.5","0.2","0.1","0.3","0.0","0.0","9.5"
"DeSean Jackson","TB","2.9","50.4","0.2","0.4","2.3","0.0","0.0","9.5"
"Marquise Goodwin","SF","3.0","46.0","0.3","0.5","2.3","0.0","0.0","9.4"
"D.J. Moore","CAR","3.4","45.0","0.1","0.7","6.3","0.0","0.0","9.4"
"Robby Anderson","NYJ","3.2","45.0","0.2","0.3","1.4","0.0","0.1","9.1"
"Jordy Nelson","OAK","3.5","43.3","0.2","0.0","0.0","0.0","0.0","9.1"
"Maurice Harris","WAS","3.7","45.3","0.1","0.2","1.0","0.0","0.0","9.1"
"Chris Godwin","TB","3.3","42.6","0.3","0.0","0.0","0.0","0.0","9.0"
"Tyrell Williams","LAC","2.6","46.2","0.3","0.1","0.6","0.0","0.0","9.0"
"Quincy Enunwa","NYJ","3.5","42.9","0.2","0.1","0.1","0.0","0.1","8.9"
"Adam Humphries","TB","3.8","40.3","0.2","0.1","0.7","0.0","0.0","8.7"
"Tre'Quan Smith","NO","2.8","39.7","0.3","0.0","0.0","0.0","0.0","8.4"
"David Moore","SEA","2.4","39.3","0.3","0.1","0.4","0.0","0.0","8.4"
"Cole Beasley","DAL","3.7","38.1","0.1","0.0","0.0","0.0","0.0","8.4"
"Pierre Garcon","SF","3.3","40.1","0.2","0.0","0.0","0.0","0.0","8.3"
"Nelson Agholor","PHI","3.4","36.9","0.2","0.2","1.4","0.0","0.0","8.2"
"Josh Doctson","WAS","3.0","39.2","0.2","0.0","-0.1","0.0","0.0","8.2"
"Kenny Stills","MIA","2.6","39.7","0.2","0.0","0.0","0.0","0.0","8.0"
"Anthony Miller","CHI","2.7","33.6","0.3","0.2","1.5","0.0","0.0","7.9"
"Antonio Callaway","CLE","2.9","35.7","0.2","0.2","1.3","0.0","0.0","7.7"
"Keelan Cole","JAC","3.0","40.6","0.1","0.0","0.0","0.0","0.1","7.6"
"Kelvin Benjamin","BUF","2.8","39.8","0.2","0.0","0.0","0.0","0.0","7.6"
"Zay Jones","BUF","3.1","34.8","0.1","0.1","0.4","0.0","0.0","7.2"
"Chester Rogers","IND","3.1","32.8","0.1","0.0","0.0","0.0","0.0","7.2"
"Jermaine Kearse","NYJ","3.0","32.4","0.2","0.0","0.0","0.0","0.0","7.1"
"Brandon LaFell","OAK","2.9","34.0","0.1","0.0","0.0","0.0","0.0","7.1"
"Tajae Sharpe","TEN","2.4","33.0","0.2","0.1","1.1","0.0","0.0","6.9"
"Chris Conley","KC","2.7","33.9","0.1","0.0","0.0","0.0","0.0","6.9"
"Curtis Samuel","CAR","2.2","29.4","0.2","0.5","4.1","0.0","0.0","6.7"
"John Ross","CIN","2.3","30.6","0.2","0.2","0.8","0.0","0.1","6.6"
"Seth Roberts","OAK","2.7","31.4","0.1","0.0","0.0","0.0","0.0","6.5"
"Taywan Taylor","TEN","2.7","34.1","0.0","0.1","0.5","0.0","0.1","6.3"
"Michael Gallup","DAL","2.2","33.6","0.1","0.0","0.0","0.0","0.0","6.1"
"Jakeem Grant","MIA","2.2","28.4","0.2","0.0","0.3","0.0","0.0","6.1"
"Jamison Crowder","WAS","2.4","28.9","0.1","0.2","1.5","0.0","0.1","6.1"
"Alex Erickson","CIN","2.1","27.4","0.2","0.1","0.4","0.0","0.0","5.8"
"Rashard Higgins","CLE","2.1","27.7","0.1","0.0","0.0","0.0","0.0","5.6"
"Terrelle Pryor","BUF","2.1","28.1","0.1","0.2","0.8","0.0","0.0","5.5"
"Cordarrelle Patterson","NE","1.2","13.6","0.1","4.2","21.6","0.1","0.0","5.5"
"Ryan Grant","IND","2.2","24.3","0.1","0.0","0.0","0.0","0.0","5.5"
"Chris Hogan","NE","2.0","27.1","0.1","0.0","0.1","0.0","0.0","5.4"
"Martavis Bryant","OAK","2.1","28.6","0.1","0.2","1.4","0.0","0.1","5.4"
"Chad Williams","ARI","2.0","25.7","0.1","0.0","0.3","0.0","0.0","5.0"
"Cam Batson","TEN","1.8","23.9","0.1","0.0","0.2","0.0","0.0","5.0"
"TJ Jones","DET","2.0","24.0","0.1","0.0","0.0","0.0","0.0","4.9"
"Sammy Watkins","KC","1.8","21.9","0.1","0.2","1.8","0.0","0.0","4.8"
"D.J. Chark","JAC","1.7","23.7","0.1","0.0","0.0","0.0","0.0","4.5"
"Equanimeous St. Brown","GB","1.5","22.2","0.1","0.0","0.1","0.0","0.0","4.4"
"Dontrelle Inman","IND","1.7","20.0","0.1","0.0","0.0","0.0","0.0","4.4"
"Kendrick Bourne","SF","1.6","19.6","0.1","0.0","0.0","0.0","0.0","4.3"
"Dez Bryant","NO","1.5","20.1","0.1","0.0","0.0","0.0","0.0","4.3"
"Ryan Switzer","PIT","1.5","17.8","0.1","0.5","2.8","0.0","0.0","4.0"
"Corey Coleman","NYG","1.3","17.4","0.1","0.0","0.1","0.0","0.0","3.7"
"Cody Core","CIN","1.3","16.8","0.1","0.1","0.3","0.0","0.0","3.6"
"Demarcus Robinson","KC","1.3","15.7","0.1","0.0","0.0","0.0","0.0","3.6"
"Michael Floyd","WAS","1.3","16.7","0.1","0.0","0.0","0.0","0.0","3.5"
"Jarius Wright","CAR","1.4","15.7","0.1","0.0","0.8","0.0","0.0","3.5"
"Damion Ratley","CLE","1.3","17.8","0.1","0.0","0.1","0.0","0.0","3.4"
"Allen Hurns","DAL","1.3","16.3","0.1","0.0","0.0","0.0","0.0","3.4"
"Richie James","SF","1.2","16.2","0.1","0.0","0.2","0.0","0.0","3.3"
"Breshad Perriman","CLE","1.2","14.9","0.1","0.2","1.1","0.0","0.0","3.3"
"James Washington","PIT","1.2","15.2","0.1","0.0","0.1","0.0","0.1","3.2"
"Darius Jennings","TEN","1.2","15.5","0.1","0.0","0.1","0.0","0.0","3.2"
"Josh Malone","CIN","1.1","15.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Jordan Matthews","PHI","1.0","16.5","0.1","0.0","0.0","0.0","0.0","3.1"
"Trent Taylor","SF","1.3","12.4","0.1","0.0","0.0","0.0","0.0","3.1"
"Travis Benjamin","LAC","1.0","13.5","0.1","0.5","3.5","0.0","0.0","3.0"
"Dante Pettis","SF","1.0","14.7","0.1","0.0","0.2","0.0","0.0","2.9"
"Andre Holmes","BUF","1.1","13.9","0.1","0.0","0.0","0.0","0.0","2.8"
"Josh Reynolds","LAR","0.8","11.7","0.1","0.1","0.5","0.0","0.0","2.5"
"Tavon Austin","DAL","0.7","7.6","0.1","0.9","5.8","0.0","0.1","2.3"
"Rishard Matthews","NYJ","0.9","9.5","0.1","0.0","0.0","0.0","0.0","2.2"
"Josh Bellamy","CHI","0.7","9.9","0.1","0.0","0.3","0.0","0.0","2.2"
"J.J. Nelson","ARI","0.8","10.9","0.1","0.1","1.0","0.0","0.1","2.2"
"Jaron Brown","SEA","0.7","9.3","0.1","0.0","0.0","0.0","0.0","2.1"
"Deontay Burnett","NYJ","0.7","9.3","0.1","0.0","0.2","0.0","0.0","2.0"
"Marvin Hall","ATL","0.7","9.2","0.1","0.0","0.0","0.0","0.0","1.9"
"Russell Shepard","NYG","0.8","10.1","0.0","0.0","0.2","0.0","0.0","1.9"
"Bennie Fowler","NYG","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Justin Hardy","ATL","0.7","8.1","0.1","0.0","0.0","0.0","0.0","1.8"
"Kevin White","CHI","0.7","8.4","0.0","0.1","0.4","0.0","0.0","1.6"
"Phillip Dorsett","NE","0.7","8.2","0.0","0.0","0.0","0.0","0.0","1.6"
"Austin Carr","NO","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Brandon Powell","DET","0.7","7.8","0.0","0.0","0.0","0.0","0.0","1.5"
"Marcus Kemp","KC","0.6","6.4","0.0","0.0","0.0","0.0","0.0","1.4"
"Travis Rudolph","MIA","0.5","7.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Dwayne Harris","OAK","0.5","5.6","0.0","0.2","1.1","0.0","0.0","1.2"
"Auden Tate","CIN","0.5","6.1","0.0","0.0","0.1","0.0","0.0","1.1"
"J'Mon Moore","GB","0.5","4.7","0.0","0.0","0.1","0.0","0.0","1.0"
"Eli Rogers","PIT","0.4","4.9","0.0","0.0","0.0","0.0","0.0","1.0"
"Zach Pascal","IND","0.4","4.5","0.0","0.0","0.2","0.0","0.0","1.0"
"Andy Jones","DET","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Deonte Thompson","DAL","0.4","4.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Geremy Davis","LAC","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.9"
"Pharoh Cooper","LAR","0.4","4.0","0.0","0.0","0.1","0.0","0.0","0.9"
"JoJo Natson","LAR","0.3","4.2","0.0","0.0","0.4","0.0","0.0","0.9"
"Andre Roberts","NYJ","0.4","3.8","0.0","0.0","0.4","0.0","0.0","0.8"
"Darrius Heyward-Bey","PIT","0.3","3.9","0.0","0.0","0.6","0.0","0.0","0.8"
"Dan Arnold","NO","0.3","4.6","0.0","0.0","0.1","0.0","0.0","0.8"
"Damiere Byrd","CAR","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.8"
"Marcus Johnson","IND","0.3","4.2","0.0","0.1","-0.1","0.0","0.0","0.7"
"Jehu Chesson","WAS","0.3","3.6","0.0","0.0","0.0","0.0","0.1","0.7"
"Rashad Greene","JAC","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.7"
"Matt Slater","NE","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Shelton Gibson","PHI","0.2","3.9","0.0","0.0","0.0","0.0","0.0","0.7"
"Ray-Ray McCloud","BUF","0.3","3.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Charone Peake","NYJ","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Jawill Davis","NYG","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.5"
"Justin Watson","TB","0.3","2.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Noah Brown","DAL","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.5"
"Russell Gage","ATL","0.2","2.8","0.0","0.0","0.1","0.0","0.0","0.5"
"Tommylee Lewis","NO","0.2","2.7","0.0","0.1","0.4","0.0","0.0","0.5"
"Leonte Carroo","MIA","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaiah McKenzie","BUF","0.2","2.3","0.0","0.0","0.1","0.0","0.0","0.5"
"Khadarel Hodge","LAR","0.1","2.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Brian Quick","WAS","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.4"
"Javon Wims","CHI","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Kendall Wright","ARI","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Trent Sherfield","ARI","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Nick Williams","LAR","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Cam Phillips","BUF","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Austin Proehl","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Holton","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"K.J. Brent","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcell Ateman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Miller","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Sims","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Davis","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Turner","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amara Darboh","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keenan Reynolds","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kalif Raymond","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Steve Ishmael","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Jones","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roger Lewis","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Hardee","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sergio Bailey","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mose Frazier","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Victor Bolden Jr.","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mack Hollins","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Odum","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Cantrell","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ArDarius Stewart","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Thomas","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shaq Roland","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Wynn","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Da'Mari Scott","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bernard Reedy","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Quinn","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
