"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.9","75.7","0.7","0.0","17.4"
"Zach Ertz","PHI","6.8","72.2","0.5","0.0","16.9"
"George Kittle","SF","4.9","62.6","0.5","0.0","13.9"
"Jared Cook","OAK","5.2","59.7","0.5","0.1","13.7"
"Eric Ebron","IND","4.2","50.3","0.6","0.0","12.9"
"David Njoku","CLE","4.6","52.2","0.5","0.0","12.8"
"Jimmy Graham","GB","4.3","49.0","0.5","0.1","11.9"
"Rob Gronkowski","NE","4.3","56.2","0.3","0.1","11.7"
"Trey Burton","CHI","4.2","49.3","0.4","0.0","11.4"
"Jordan Reed","WAS","4.6","47.2","0.2","0.0","10.7"
"Kyle Rudolph","MIN","4.1","42.9","0.4","0.0","10.5"
"Vance McDonald","PIT","3.6","40.9","0.4","0.1","10.2"
"O.J. Howard","TB","3.5","47.3","0.3","0.0","9.8"
"Evan Engram","NYG","3.7","38.8","0.2","0.0","9.0"
"Jack Doyle","IND","3.8","39.4","0.2","0.1","8.9"
"Greg Olsen","CAR","3.6","40.5","0.2","0.0","8.8"
"C.J. Uzomah","CIN","3.4","36.6","0.3","0.0","8.8"
"Benjamin Watson","NO","3.0","34.3","0.2","0.0","7.6"
"Ricky Seals-Jones","ARI","2.8","34.9","0.2","0.0","7.6"
"Charles Clay","BUF","3.0","31.0","0.1","0.0","6.7"
"Chris Herndon IV","NYJ","2.5","28.2","0.2","0.0","6.4"
"Jeff Heuerman","DEN","2.5","29.0","0.1","0.0","6.3"
"Jordan Thomas","HOU","1.9","22.4","0.2","0.0","5.4"
"Mike Gesicki","MIA","2.0","22.4","0.1","0.0","5.0"
"David Grinnage","JAC","2.1","20.9","0.1","0.0","4.9"
"Vernon Davis","WAS","1.7","23.4","0.1","0.0","4.7"
"Jesse James","PIT","1.8","19.8","0.1","0.0","4.6"
"Nick O'Leary","MIA","1.7","21.4","0.1","0.0","4.6"
"Cameron Brate","TB","1.8","19.0","0.2","0.1","4.6"
"Michael Roberts","DET","1.5","15.8","0.2","0.0","4.5"
"Nick Vannett","SEA","1.8","18.9","0.1","0.0","4.5"
"Ed Dickson","SEA","1.6","20.6","0.1","0.0","4.4"
"Mark Andrews","BAL","1.7","19.5","0.1","0.0","4.4"
"Gerald Everett","LAR","1.6","18.8","0.2","0.1","4.4"
"Jordan Akins","HOU","1.7","18.6","0.1","0.0","4.3"
"A.J. Derby","MIA","1.4","15.9","0.2","0.1","4.0"
"Dallas Goedert","PHI","1.6","17.3","0.1","0.0","3.9"
"Jason Croom","BUF","1.4","14.3","0.1","0.0","3.5"
"Neal Sterling","NYJ","1.4","14.8","0.1","0.0","3.4"
"Nick Boyle","BAL","1.5","13.6","0.0","0.0","3.2"
"Tyler Higbee","LAR","1.1","13.0","0.1","0.0","3.1"
"Jermaine Gresham","ARI","1.2","13.4","0.1","0.1","3.0"
"Hayden Hurst","BAL","1.2","13.1","0.1","0.0","3.0"
"Rhett Ellison","NYG","1.2","12.1","0.1","0.1","3.0"
"Josh Hill","NO","1.1","12.4","0.1","0.0","3.0"
"Demetrius Harris","KC","1.0","12.6","0.1","0.0","2.9"
"Luke Willson","DET","1.2","11.0","0.1","0.0","2.9"
"Jordan Leggett","NYJ","1.1","11.7","0.1","0.0","2.7"
"Darren Fells","CLE","1.0","12.0","0.1","0.0","2.7"
"Matt LaCosse","DEN","1.0","11.2","0.1","0.0","2.6"
"Maxx Williams","BAL","1.1","10.4","0.1","0.0","2.5"
"Garrett Celek","SF","0.9","10.2","0.1","0.0","2.4"
"Blake Bell","JAC","1.0","10.7","0.0","0.0","2.3"
"Eric Tomlinson","NYJ","0.9","9.7","0.0","0.0","2.1"
"Seth DeValve","CLE","0.8","9.4","0.1","0.0","2.1"
"Niles Paul","JAC","1.0","6.1","0.1","0.0","2.0"
"Lance Kendricks","GB","0.8","8.4","0.0","0.0","1.9"
"Ian Thomas","CAR","0.8","7.2","0.0","0.0","1.8"
"Derek Carrier","OAK","0.7","6.5","0.0","0.0","1.6"
"Matt Lengel","CIN","0.5","5.1","0.1","0.0","1.5"
"Logan Thomas","BUF","0.7","7.2","0.0","0.0","1.5"
"David Morgan","MIN","0.7","5.9","0.0","0.0","1.4"
"Dion Sims","CHI","0.4","4.7","0.0","0.0","1.0"
"Jacob Hollister","NE","0.4","4.8","0.0","0.0","1.0"
"Levine Toilolo","DET","0.5","3.8","0.0","0.0","1.0"
"Dwayne Allen","NE","0.4","3.2","0.0","0.0","1.0"
"Gabe Holmes","ARI","0.3","3.7","0.0","0.0","0.9"
"Antony Auclair","TB","0.4","3.6","0.0","0.1","0.9"
"Adam Shaheen","CHI","0.3","3.2","0.0","0.0","0.8"
"Mo Alie-Cox","IND","0.3","3.8","0.0","0.0","0.8"
"Darrell Daniels","SEA","0.2","2.3","0.0","0.0","0.7"
"Durham Smythe","MIA","0.3","3.2","0.0","0.0","0.7"
"Tyrone Swoopes","SEA","0.2","3.3","0.0","0.0","0.7"
"Lee Smith","OAK","0.3","2.9","0.0","0.0","0.6"
"Jerell Adams","HOU","0.2","2.6","0.0","0.0","0.6"
"Marcedes Lewis","GB","0.2","2.0","0.0","0.0","0.6"
"Tyler Conklin","NE","0.3","2.7","0.0","0.0","0.6"
"Xavier Grimble","PIT","0.2","2.8","0.0","0.0","0.6"
"Dan Arnold","NO","0.2","2.9","0.0","0.0","0.6"
"Scott Simonson","NYG","0.2","2.4","0.0","0.0","0.5"
"Orson Charles","CLE","0.2","2.2","0.0","0.0","0.5"
"Alan Cross","TB","0.2","2.1","0.0","0.0","0.5"
"Joshua Perkins","PHI","0.2","2.3","0.0","0.0","0.4"
"Daniel Brown","CHI","0.2","1.7","0.0","0.0","0.4"
"Brian Parker","DEN","0.2","1.9","0.0","0.0","0.4"
"Jeremy Sprinkle","WAS","0.2","1.8","0.0","0.0","0.4"
"Chris Manhertz","CAR","0.2","1.5","0.0","0.0","0.3"
"Ben Braunecker","CHI","0.1","1.7","0.0","0.0","0.3"
"Ryan Hewitt","IND","0.1","0.6","0.0","0.0","0.2"
"Clark Harris","CIN","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"Ryan Malleck","PIT","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","SF","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","DEN","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","SF","0.0","0.0","0.0","0.0","0.0"
"Jevoni Robinson","HOU","0.0","0.0","0.0","0.0","0.0"
"Jordan Franks","CIN","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","PIT","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","NE","0.0","0.0","0.0","0.0","0.0"
"Richard Rodgers","PHI","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"Hakeem Valles","DET","0.0","0.0","0.0","0.0","0.0"
""
""
